Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R20,100K,R_0603_1608Metric,189.24,-190.845,0.0,top
R21,330,R_0603_1608Metric,131.668002,-118.23,0.0,top
R22,600,R_0603_1608Metric,238.4707,-202.795,180.0,top
R23,470,R_0603_1608Metric,188.49,-184.195,-90.0,top
R24,470,R_0603_1608Metric,189.99,-184.195,90.0,top
R25,4K7,R_0603_1608Metric,171.825,-150.46,180.0,top
R26,10K,R_0603_1608Metric,242.13,-119.54,0.0,top
R27,10K,R_0603_1608Metric,267.095,-119.35,0.0,top
R28,1K,R_0603_1608Metric,168.145,-167.87,-90.0,top
R29,220,R_0603_1608Metric,171.055,-167.86,-90.0,top
R3,4K7,R_0603_1608Metric,237.515,-149.72,0.0,top
R32,10K,R_0603_1608Metric,267.095,-116.46,0.0,top
R33,10K,R_0603_1608Metric,267.055,-113.59,0.0,top
R34,5K1,R_0603_1608Metric,284.485,-191.44,-90.0,top
R35,5K1,R_0603_1608Metric,283.095,-200.1,180.0,top
R36,220,R_0603_1608Metric,154.26,-170.235,90.0,top
R37,0R05,R_0805_2012Metric,147.25,-200.62,180.0,top
R38,2K2,R_0603_1608Metric,149.2605,-163.21,180.0,top
R39,1M5,R_2512_6332Metric,177.198125,-188.903883,0.0,top
R4,22.1K,R_0603_1608Metric,277.405,-171.875,180.0,top
R40,10K,R_0603_1608Metric,177.198125,-202.403883,180.0,top
R41,18K,R_0603_1608Metric,125.0105,-165.86,90.0,top
R42,2K,R_0603_1608Metric,125.0105,-162.86,90.0,top
R43,4K7,R_0603_1608Metric,124.6,-106.8,-90.0,top
R44,300K,R_0603_1608Metric,131.8,-104.8,0.0,top
R45,10K,R_0603_1608Metric,135.5,-105.5,90.0,top
R46,4K7,R_0603_1608Metric,138.425,-99.8,0.0,top
R47,4K7,R_0603_1608Metric,149.6,-106.8,-90.0,top
R48,300K,R_0603_1608Metric,156.8,-104.8,0.0,top
R49,10K,R_0603_1608Metric,160.5,-105.5,90.0,top
R5,47.5K,R_0603_1608Metric,275.195,-172.63,-90.0,top
R50,4K7,R_0603_1608Metric,163.425,-99.8,0.0,top
R51,4K7,R_0603_1608Metric,184.6,-106.8,-90.0,top
R52,300K,R_0603_1608Metric,191.8,-104.8,0.0,top
R53,10K,R_0603_1608Metric,195.5,-105.5,90.0,top
R54,4K7,R_0603_1608Metric,198.425,-99.8,0.0,top
R55,4K7,R_0603_1608Metric,209.6,-106.8,-90.0,top
R56,300K,R_0603_1608Metric,216.8,-104.8,0.0,top
R57,10K,R_0603_1608Metric,220.5,-105.5,90.0,top
R58,4K7,R_0603_1608Metric,223.425,-99.8,0.0,top
R59,4K7,R_0603_1608Metric,244.6,-106.8,-90.0,top
R6,0,R_0603_1608Metric,265.015,-171.245,0.0,top
R60,300K,R_0603_1608Metric,251.8,-104.8,0.0,top
